hydrazide_name,hydrazide_smiles,aldehyde_name,aldehyde_smiles,product_name,product_smiles
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-1,C=C(C)[C@@H]1CC=C(C=O)CC1,core-1_aldehyde-1_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)C1=CC[C@@H](C(=C)C)CC1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-1,C=C(C)[C@@H]1CC=C(C=O)CC1,core-1_aldehyde-1_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)C1=CC[C@@H](C(=C)C)CC1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-2,O=Cc1cc(Br)cc(Br)c1O,core-1_aldehyde-2_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(Br)cc(Br)c1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-2,O=Cc1cc(Br)cc(Br)c1O,core-1_aldehyde-2_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(Br)cc(Br)c1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-3,O=Cc1cc(I)cc(I)c1O,core-1_aldehyde-3_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(I)cc(I)c1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-3,O=Cc1cc(I)cc(I)c1O,core-1_aldehyde-3_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(I)cc(I)c1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-4,CCOc1cc(C=O)ccc1O,core-1_aldehyde-4_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1ccc(O)c(OCC)c1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-4,CCOc1cc(C=O)ccc1O,core-1_aldehyde-4_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1ccc(O)c(OCC)c1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-5,O=Cc1ccc(O)c2ccccc12,core-1_aldehyde-5_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1ccc(O)c2ccccc12
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-5,O=Cc1ccc(O)c2ccccc12,core-1_aldehyde-5_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1ccc(O)c2ccccc12
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-6,COc1cc(Br)cc(C=O)c1O,core-1_aldehyde-6_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(Br)cc(OC)c1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-6,COc1cc(Br)cc(C=O)c1O,core-1_aldehyde-6_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(Br)cc(OC)c1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-7,O=Cc1cc(I)ccc1O,core-1_aldehyde-7_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(I)ccc1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-7,O=Cc1cc(I)ccc1O,core-1_aldehyde-7_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cc(I)ccc1O
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-8,O=C/C=C/c1ccccc1,core-1_aldehyde-8_cis-1,[H]C(/C=C/c1ccccc1)=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-8,O=C/C=C/c1ccccc1,core-1_aldehyde-8_trans-1,[H]C(/C=C/c1ccccc1)=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-9,O=Cc1cnn(-c2ccc(F)cc2F)c1,core-1_aldehyde-9_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cnn(-c2ccc(F)cc2F)c1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-9,O=Cc1cnn(-c2ccc(F)cc2F)c1,core-1_aldehyde-9_trans-1,[H]/C(=N\NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cnn(-c2ccc(F)cc2F)c1
core-1,NNC(=O)c1ccc(N2CCC(=O)NC2=O)cc1,aldehyde-10,COc1ccccc1-n1cc(C=O)cn1,core-1_aldehyde-10_cis-1,[H]/C(=N/NC(=O)c1ccc(N2CCC(=O)NC2=O)cc1)c1cnn(-c2ccccc2OC)c1
