Name,raw_smiles,aldehyde_ID,smiles,neutral_smiles,match_aldehyde
 (S)-(-)-Perillaldehyde,O=CC1=CC[C@@H](C(C)=C)CC1,aldehyde-1,C=C(C)[C@@H]1CC=C(C=O)CC1,C=C(C)[C@@H]1CC=C(C=O)CC1,True
" 3,5-Dibromosalicylaldehyde",O=CC1=C(O)C(Br)=CC(Br)=C1,aldehyde-2,O=Cc1cc(Br)cc(Br)c1O,O=Cc1cc(Br)cc(Br)c1O,True
" 3,5-Diiodosalicylaldehyde",O=CC1=C(O)C(I)=CC(I)=C1,aldehyde-3,O=Cc1cc(I)cc(I)c1O,O=Cc1cc(I)cc(I)c1O,True
 3-Ethoxy-4-hydroxybenzaldehyde,O=CC1=CC(OCC)=C(O)C=C1,aldehyde-4,CCOc1cc(C=O)ccc1O,CCOc1cc(C=O)ccc1O,True
 4-Hydroxy-1-naphthaldehyde,OC1=CC=C(C=O)C2=CC=CC=C21,aldehyde-5,O=Cc1ccc(O)c2ccccc12,O=Cc1ccc(O)c2ccccc12,True
 5-Bromo-2-hydroxy-3-methoxybenzaldehyde,O=CC1=C(O)C(OC)=CC(Br)=C1,aldehyde-6,COc1cc(Br)cc(C=O)c1O,COc1cc(Br)cc(C=O)c1O,True
 5-Iodosalicylaldehyde,O=CC1=C(O)C=CC(I)=C1,aldehyde-7,O=Cc1cc(I)ccc1O,O=Cc1cc(I)ccc1O,True
 Cinnamaldehyde,O=C/C=C/C1=CC=CC=C1,aldehyde-8,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,True
"1-(2,4-Difluorophenyl)-1H-pyrazole-4-carbaldehyde",Fc1c(ccc(c1)F)[n]2ncc(c2)C=O,aldehyde-9,O=Cc1cnn(-c2ccc(F)cc2F)c1,O=Cc1cnn(-c2ccc(F)cc2F)c1,True
1-(2-Methoxyphenyl)-1H-pyrazole-4-carbaldehyde,[n]2(ncc(c2)C=O)c1c(cccc1)OC,aldehyde-10,COc1ccccc1-n1cc(C=O)cn1,COc1ccccc1-n1cc(C=O)cn1,True
1-(3-Formylphenyl)piperazine,N2(CCNCC2)c1cc(ccc1)C=O,aldehyde-11,O=Cc1cccc(N2CCNCC2)c1,O=Cc1cccc(N2CCNCC2)c1,True
1-(3-METHYLPHENYL)-1H-PYRAZOLE-4-CARBALDEHYDE,[n]2(ncc(c2)C=O)c1cc(ccc1)C,aldehyde-12,Cc1cccc(-n2cc(C=O)cn2)c1,Cc1cccc(-n2cc(C=O)cn2)c1,True
1-(4-BROMOPHENYL)-3-PHENYL-1H-PYRAZOLE-4-CARBALDEHYDE,Brc1ccc(cc1)[n]2nc(c(c2)C=O)c3ccccc3,aldehyde-13,O=Cc1cn(-c2ccc(Br)cc2)nc1-c1ccccc1,O=Cc1cn(-c2ccc(Br)cc2)nc1-c1ccccc1,True
"1-(4-CHLOROPHENYL)-1H-1,2,3-TRIAZOLE-4-CARBALDEHYDE",Clc1ccc(cc1)[n]2nnc(c2)C=O,aldehyde-14,O=Cc1cn(-c2ccc(Cl)cc2)nn1,O=Cc1cn(-c2ccc(Cl)cc2)nn1,True
1-(4-FLUOROPHENYL)-3-(4-METHYLPHENYL)-1H-PYRAZOLE-4-CARBALDEHYDE,Fc1ccc(cc1)[n]2nc(c(c2)C=O)c3ccc(cc3)C,aldehyde-15,Cc1ccc(-c2nn(-c3ccc(F)cc3)cc2C=O)cc1,Cc1ccc(-c2nn(-c3ccc(F)cc3)cc2C=O)cc1,True
1-(4-ISOPROPYLPHENYL)-1H-PYRAZOLE-4-CARBALDEHYDE,[n]2(ncc(c2)C=O)c1ccc(cc1)C(C)C,aldehyde-16,CC(C)c1ccc(-n2cc(C=O)cn2)cc1,CC(C)c1ccc(-n2cc(C=O)cn2)cc1,True
